sku,producto,descripcion,precio_mxn,stock
CAF-001,Café Chiapas 250g,Tueste medio en grano,147.00,18
CAF-002,Café Chiapas 250g molido,Tueste medio molido,147.00,25
CAF-003,Café micro-lote Veracruz 250g,Tueste claro notas de caramelo,238.00,7
CAF-004,Caja de café filtrado 10 piezas,Sobres individuales de café filtrado,122.50,40
CAF-005,Kit de degustación 3x100g,Tres orígenes diferentes,262.50,12
ACC-001,Prensa francesa 350ml,Vidrio borosilicato,311.50,9
ACC-002,Molino manual,Muelas de cerámica ajustables,420.00,5
ACC-003,Filtro V60 talla 2 (40 piezas),Papel blanco,98.00,22
ACC-004,Taza de la casa 300ml,Cerámica esmaltada,157.50,15
ASS-001,Suscripción mensual 500g,Café de temporada cada mes,276.50,999
